epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1734.9,1.52186,2.15623,1.64802,0.54624,0.45631,0.45627,0.23113,1.67388,1.85939,1.73042,0.0033326,0.0033326,0.0033326
2,3410.75,1.5394,1.83683,1.66831,0.59545,0.48228,0.50834,0.27235,1.62293,1.75521,1.73134,0.00659994,0.00659994,0.00659994
3,5072.17,1.57205,1.83919,1.71421,0.60077,0.49404,0.51722,0.28133,1.60227,1.64496,1.71557,0.00980128,0.00980128,0.00980128
4,6712.98,1.55062,1.79542,1.70644,0.63131,0.51129,0.54075,0.30594,1.55078,1.56954,1.69102,0.009703,0.009703,0.009703
5,8328.08,1.50273,1.70888,1.66946,0.64455,0.5119,0.55699,0.31906,1.50972,1.52415,1.64826,0.009604,0.009604,0.009604
6,9986.89,1.47166,1.65797,1.64674,0.64939,0.52441,0.56929,0.33118,1.49293,1.48017,1.6362,0.009505,0.009505,0.009505
7,1588.68,1.45388,1.62785,1.63122,0.64967,0.52654,0.5742,0.33722,1.47799,1.4622,1.62423,0.009406,0.009406,0.009406
8,3182.37,1.44402,1.60474,1.62305,0.65388,0.52942,0.58022,0.34274,1.45965,1.44073,1.60864,0.009307,0.009307,0.009307
9,4764.69,1.42917,1.59032,1.61686,0.65457,0.53247,0.58399,0.34652,1.45315,1.42953,1.60746,0.009208,0.009208,0.009208
10,6345.98,1.4186,1.57428,1.60421,0.65965,0.53292,0.58756,0.35058,1.44475,1.41765,1.60072,0.009109,0.009109,0.009109
11,7906.65,1.41249,1.55886,1.59994,0.66173,0.53493,0.59037,0.35334,1.44029,1.41249,1.5957,0.00901,0.00901,0.00901
12,9468.05,1.40449,1.54462,1.59498,0.65943,0.53774,0.59247,0.35575,1.43514,1.4056,1.59174,0.008911,0.008911,0.008911
13,11016.5,1.40454,1.54417,1.59683,0.663,0.53641,0.59388,0.35732,1.43105,1.40216,1.58848,0.008812,0.008812,0.008812
14,1680.03,1.39531,1.52907,1.5851,0.66203,0.53805,0.59531,0.35836,1.43115,1.39737,1.58706,0.008713,0.008713,0.008713
15,3368.49,1.39635,1.52724,1.58651,0.66323,0.53936,0.59627,0.35929,1.4298,1.39486,1.58535,0.008614,0.008614,0.008614
16,5010.88,1.38965,1.52341,1.58643,0.66271,0.5399,0.59717,0.35983,1.42844,1.39208,1.58434,0.008515,0.008515,0.008515
17,6650.38,1.3861,1.51428,1.57892,0.6625,0.53965,0.59766,0.36054,1.42692,1.38996,1.58292,0.008416,0.008416,0.008416
18,8292.54,1.3838,1.51121,1.58154,0.66359,0.53979,0.59845,0.36118,1.42452,1.38908,1.58175,0.008317,0.008317,0.008317
19,9942.65,1.37923,1.50302,1.57644,0.66315,0.53983,0.59911,0.36204,1.42224,1.38702,1.58014,0.008218,0.008218,0.008218
20,11583.8,1.38219,1.50396,1.57798,0.66752,0.53879,0.59991,0.36295,1.42007,1.38539,1.57838,0.008119,0.008119,0.008119
